
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2015,New York Yankees,AL East,162,87,75,0,.537,.541,2nd of 5,6.0,Lost ALWC (1-0),764,698,3193795,31.2,27.4,56,33,M.Teixeira (3.8),J.Girardi (87-75)
2,2014,New York Yankees,AL East,162,84,78,0,.519,.478,2nd of 5,12.0,,633,664,3401624,32.5,29.3,58,33,B.Gardner (4.0),J.Girardi (84-78)
3,2013,New York Yankees,AL East,162,85,77,0,.525,.485,3rd of 5,12.0,,650,671,3279589,31.8,31.8,56,24,R.Cano (7.8),J.Girardi (85-77)
4,2012,New York Yankees,AL East,162,95,67,0,.586,.584,1st of 5,--,Lost ALCS (4-0),804,668,3542406,32.7,30.3,45,23,R.Cano (8.4),J.Girardi (95-67)
5,2011,New York Yankees,AL East,162,97,65,0,.599,.624,1st of 5,--,Lost LDS (3-2),867,657,3653680,30.5,31.0,48,28,C.Sabathia (7.4),J.Girardi (97-65)
6,2010,New York Yankees,AL East,162,95,67,0,.586,.597,2nd of 5,1.0,Lost ALCS (4-2),859,693,3765807,30.2,30.3,43,21,R.Cano (8.1),J.Girardi (95-67)
7,2009,New York Yankees,AL East,162,103,59,0,.636,.588,1st of 5,--,Won WS (4-2),915,753,3719358,30.5,29.3,45,24,D.Jeter (6.5),J.Girardi (103-59)
8,2008,New York Yankees,AL East,162,89,73,0,.549,.537,3rd of 5,8.0,,789,727,4298655,31.3,30.6,51,27,A.Rodriguez (6.8),J.Girardi (89-73)
9,2007,New York Yankees,AL East,162,94,68,0,.580,.599,2nd of 5,2.0,Lost LDS (3-1),968,777,4271083,30.7,31.4,49,28,A.Rodriguez (9.4),J.Torre (94-68)
10,2006,New York Yankees,AL East,162,97,65,0,.599,.587,1st of 5,--,Lost LDS (3-1),930,767,4248067,30.9,32.5,49,25,C.Wang (6.0),J.Torre (97-65)
11,2005,New York Yankees,AL East,162,95,67,0,.586,.553,1st of 5,--,Lost LDS (3-2),886,789,4090696,32.4,34.2,51,28,A.Rodriguez (9.4),J.Torre (95-67)
12,2004,New York Yankees,AL East,162,101,61,0,.623,.548,1st of 5,--,Lost ALCS (4-3),897,808,3775292,32.3,32.9,43,23,A.Rodriguez (7.6),J.Torre (101-61)
13,2003,New York Yankees,AL East,163,101,61,1,.623,.592,1st of 5,--,Lost WS (4-2),877,716,3465600,30.5,33.6,49,23,M.Mussina (6.6),J.Torre (101-61)
14,2002,New York Yankees,AL East,161,103,58,0,.640,.613,1st of 5,--,Lost LDS (3-1),897,697,3465807,30.1,33.1,38,17,J.Giambi (7.1),J.Torre (103-58)
15,2001,New York Yankees,AL East,161,95,65,1,.594,.555,1st of 5,--,Lost WS (4-3),804,713,3264907,31.1,30.9,47,20,M.Mussina (7.1),J.Torre (95-65)
16,2000,New York Yankees,AL East,161,87,74,0,.540,.531,1st of 5,--,Won WS (4-1),871,814,3055435,31.3,32.0,46,22,J.Posada (5.5),J.Torre (87-74)
17,1999,New York Yankees,AL East,162,98,64,0,.605,.594,1st of 5,--,Won WS (4-0),900,731,3292736,30.9,31.2,39,18,D.Jeter (8.0),J.Torre (98-64)
